accession	action	sdrf_path	title	evidence_terms	pride_queries	organisms	organism_parts	diseases	instruments	experiment_types	quantification_methods	file_count	draft_row_count	pride_pubmed_ids	pride_dois	europepmc_hit_count	europepmc_first_pmid	europepmc_first_doi	europepmc_first_title	pride_url
PXD054445	sandbox_draft	sandbox/PXD054445/PXD054445.sdrf.tsv	Formaldehyde fixation helps preserving proteome state during single-cell proteomics sample processing and analysis	single-cell proteomics;cellenONE	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture		Orbitrap Astral	Bottom-up proteomics		161	142			1	39901769	10.1021/acs.jproteome.4c00656	Formaldehyde Fixation Helps Preserve the Proteome State during Single-Cell Proteomics Sample Processing and Analysis.	https://www.ebi.ac.uk/pride/archive/projects/PXD054445
PXD055869	sandbox_draft	sandbox/PXD055869/PXD055869.sdrf.tsv	Establishment of Salivary Tissue-Organoid Biorepository	single-cell proteomics;cellenONE	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Saliva		timsTOF SCP	Data-independent acquisition; Bottom-up proteomics		5	1	40399315	10.1038/s41536-025-00410-5	1	40399315	10.1038/s41536-025-00410-5	Establishment of salivary tissue-organoid biorepository: characterizing salivary gland stem/progenitor cells and novel differentiation marker PSMA/FOLH1.	https://www.ebi.ac.uk/pride/archive/projects/PXD055869
PXD055915	sandbox_draft	sandbox/PXD055915/PXD055915.sdrf.tsv	msSIM for single-cell proteomic analysis	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Epithelial cell; Pancreas	Pancreatic cancer	Q Exactive HF	Data-dependent acquisition	Spectrum counting	277	238	40904101	10.1002/pmic.70037	1	40904101	10.1002/pmic.70037	SLB-msSIM: A Spectral Library-Based Multiplex Segmented SIM Platform for Single-Cell Proteomic Analysis.	https://www.ebi.ac.uk/pride/archive/projects/PXD055915
PXD056327	sandbox_draft	sandbox/PXD056327/PXD056327.sdrf.tsv	Formaldehyde fixation helps preserve the proteome state during single-cell proteomics sample processing and analysis	single-cell proteomics;cellenONE;ProteoCHIP	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture; Hela cell		Orbitrap Astral	Data-independent acquisition; Bottom-up proteomics; Data-dependent acquisition	Label free; TMT	143	138	39901769	10.1021/acs.jproteome.4c00656	1	39901769	10.1021/acs.jproteome.4c00656	Formaldehyde Fixation Helps Preserve the Proteome State during Single-Cell Proteomics Sample Processing and Analysis.	https://www.ebi.ac.uk/pride/archive/projects/PXD056327
PXD057118	sandbox_draft	sandbox/PXD057118/PXD057118.sdrf.tsv	Deciphering functional tumor-immune crosstalk through highly multiplexed imaging and deep visual proteomics	deep visual proteomics	Deep Visual Proteomics	Homo sapiens (human)	Colon; Tonsil	Colon cancer; Tonsil cancer	timsTOF SCP; Orbitrap Astral	Bottom-up proteomics	label-free quantification; Dimethyl Labeling	18	1			1	40536875	10.1016/j.xpro.2025.103901	Protocol for spatial proteomic profiling of tonsil cancer microenvironments using multiplexed imaging-powered deep visual proteomics.	https://www.ebi.ac.uk/pride/archive/projects/PXD057118
PXD057685	sandbox_draft	sandbox/PXD057685/PXD057685.sdrf.tsv	Electrophoresis-Correlative Framing of Ion Mobility Deepens Single-Cell Mass Spectrometry Proteomics	single-cell proteome;single-cell mass spectrometry	single cell mass spectrometry;single cell proteome;single cell proteomics;single-cell mass spectrometry;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human); Xenopus laevis (african clawed frog)	Cell culture		timsTOF	Bottom-up proteomics; Data-dependent acquisition		9	2	39674510	10.1016/j.mcpro.2024.100892	1	39674510	10.1016/j.mcpro.2024.100892	Electrophoresis-Correlative Ion Mobility Deepens Single-Cell Proteomics in Capillary Electrophoresis Mass Spectrometry.	https://www.ebi.ac.uk/pride/archive/projects/PXD057685
PXD058457	sandbox_draft	sandbox/PXD058457/PXD058457.sdrf.tsv	High throughput single-cell proteomics of in-vivo cells	single-cell proteomics;cellenONE	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human); Mus musculus (mouse)	Macrophage; Cell culture; Lung	Colon cancer	timsTOF SCP	Data-independent acquisition; Bottom-up proteomics		21	1		10.1016/J.MCPRO.2025.101018	1	40544993	10.1016/j.mcpro.2025.101018	High-Throughput Single-Cell Proteomics of In Vivo Cells.	https://www.ebi.ac.uk/pride/archive/projects/PXD058457
PXD058753	sandbox_draft	sandbox/PXD058753/PXD058753.sdrf.tsv	Global analysis of protein turnover dynamics in single cells	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture; Fibroblast		Orbitrap Astral	Data-independent acquisition; Bottom-up proteomics	SILAC	385	384			0				https://www.ebi.ac.uk/pride/archive/projects/PXD058753
PXD059079	sandbox_draft	sandbox/PXD059079/PXD059079.sdrf.tsv	Single-Cell Proteomic and Transcriptomic Characterization of Drug-Resistant Prostate Cancer Cells Reveals Molecular Signatures Associated with Morphological Changes	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Epithelial cell of prostate	Prostate adenocarcinoma	Orbitrap Ascend; timsTOF HT	Bottom-up proteomics	label-free quantification; Data-independent acquisition	13	6		10.1016/J.MCPRO.2025.100949	1	40090465	10.1016/j.mcpro.2025.100949	Single-Cell Proteomic Characterization of Drug-Resistant Prostate Cancer Cells Reveals Molecular Signatures Associated with Morphological Changes.	https://www.ebi.ac.uk/pride/archive/projects/PXD059079
PXD059683	sandbox_draft	sandbox/PXD059683/PXD059683.sdrf.tsv	SpLICE: A reference database enabling in depth proteome and PTM analysis of mouse immune cells	single-cell proteomics;single-cell proteome	single cell proteome;single-cell proteome;single-cell proteomic	Mus musculus (mouse)	T cell; Macrophage; Dendritic cell; B cell; Cell culture		Q Exactive HF	Bottom-up proteomics; Data-dependent acquisition	Label free	73	60			1	40210874	10.1038/s41597-025-04829-9	A reference database enabling in-depth proteome and PTM analysis of mouse immune cells.	https://www.ebi.ac.uk/pride/archive/projects/PXD059683
